"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2016-01-28T00:00:00.000Z,"3.72","16",20,10,0
2016-01-29T00:00:00.000Z,"4.68","16",20,10,0
2016-01-30T00:00:00.000Z,"4.38","16",20,10,0
2016-01-31T00:00:00.000Z,"3.73","16",20,10,0
2016-02-01T00:00:00.000Z,"3.22","16",20,10,0
2016-02-02T00:00:00.000Z,"2.85","16",20,10,0
2016-02-03T00:00:00.000Z,"3.16","16",20,10,0
2016-02-04T00:00:00.000Z,"2.80","16",20,10,0
2016-02-05T00:00:00.000Z,"2.86","16",20,10,0
2016-02-06T00:00:00.000Z,"2.36","16",20,10,0
2016-02-07T00:00:00.000Z,"2.25","16",20,10,0
2016-02-08T00:00:00.000Z,"2.76","16",20,10,0
2016-02-09T00:00:00.000Z,"2.03","16",20,10,0
2016-02-10T00:00:00.000Z,"1.82","16",20,10,0
2016-02-11T00:00:00.000Z,"2.10","16",20,10,0
2016-02-12T00:00:00.000Z,"1.94","16",20,10,0
2016-02-13T00:00:00.000Z,"1.93","16",20,10,0
2016-02-14T00:00:00.000Z,"2.17","16",20,10,0
2016-02-15T00:00:00.000Z,"3.28","16",20,10,0
2016-02-16T00:00:00.000Z,"3.60","16",20,10,0
2016-02-17T00:00:00.000Z,"3.78","16",20,10,0
2016-02-18T00:00:00.000Z,"3.73","16",20,10,0
2016-02-19T00:00:00.000Z,"3.22","16",20,10,0
2016-02-20T00:00:00.000Z,"2.36","16",20,10,0
2016-02-21T00:00:00.000Z,"2.23","16",20,10,0
2016-02-22T00:00:00.000Z,"1.96","16",20,10,0
2016-02-23T00:00:00.000Z,"1.76","16",20,10,0
2016-02-24T00:00:00.000Z,"1.62","16",20,10,0
2016-02-25T00:00:00.000Z,"1.63","16",20,10,0
2016-02-26T00:00:00.000Z,"2.26","16",20,10,0
2016-02-27T00:00:00.000Z,"4.15","16",20,10,0
2016-02-28T00:00:00.000Z,"9.04","16",20,10,0
2016-02-29T00:00:00.000Z,"8.89","16",20,10,0
2016-03-01T00:00:00.000Z,"7.95","16",20,10,0
2016-03-02T00:00:00.000Z,"5.40","16",20,10,0
2016-03-03T00:00:00.000Z,"4.62","16",20,10,0
2016-03-04T00:00:00.000Z,"5.41","16",20,10,0
2016-03-05T00:00:00.000Z,"5.03","16",20,10,0
2016-03-06T00:00:00.000Z,"4.79","16",20,10,0
2016-03-07T00:00:00.000Z,"4.80","16",20,10,0
2016-03-08T00:00:00.000Z,"4.16","16",20,10,0
2016-03-09T00:00:00.000Z,"3.43","16",20,10,0
2016-03-10T00:00:00.000Z,"3.09","16",20,10,0
2016-03-11T00:00:00.000Z,"2.97","16",20,10,0
2016-03-12T00:00:00.000Z,"2.65","16",20,10,0
2016-03-13T00:00:00.000Z,"2.61","16",20,10,0
2016-03-14T00:00:00.000Z,"2.75","16",20,10,0
2016-03-15T00:00:00.000Z,"3.42","16",20,10,0
2016-03-16T00:00:00.000Z,"3.05","16",20,10,0
2016-03-17T00:00:00.000Z,"4.35","16",20,10,0
2016-03-18T00:00:00.000Z,"5.65","16",20,10,0
2016-03-19T00:00:00.000Z,"5.03","16",20,10,0
2016-03-20T00:00:00.000Z,"5.04","16",20,10,0
2016-03-21T00:00:00.000Z,"4.85","16",20,10,0
2016-03-22T00:00:00.000Z,"3.95","16",20,10,0
2016-03-23T00:00:00.000Z,"2.53","16",20,10,0
2016-03-24T00:00:00.000Z,"2.36","16",20,10,0
2016-03-25T00:00:00.000Z,"1.95","16",20,10,0
