"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2016-04-30T00:00:00.000Z,2016-04-30T00:05:00.000Z,"42.48","4",16,0,0
2016-05-01T00:00:00.000Z,2016-05-01T05:35:00.000Z,"42.54","4",16,0,0
2016-05-02T00:00:00.000Z,2016-05-02T00:50:00.000Z,"42.57","4",16,0,0
2016-05-03T00:00:00.000Z,2016-05-03T02:25:00.000Z,"42.62","4",16,0,0
2016-05-04T00:00:00.000Z,2016-05-04T18:15:00.000Z,"42.50","4",16,0,0
2016-05-05T00:00:00.000Z,2016-05-05T08:15:00.000Z,"42.55","4",16,0,0
2016-05-06T00:00:00.000Z,2016-05-06T02:45:00.000Z,"42.61","4",16,0,0
2016-05-07T00:00:00.000Z,2016-05-07T01:15:00.000Z,"42.67","4",16,0,0
2016-05-08T00:00:00.000Z,2016-05-08T00:45:00.000Z,"42.67","4",16,0,0
2016-05-09T00:00:00.000Z,2016-05-09T00:15:00.000Z,"42.77","4",16,0,0
2016-05-10T00:00:00.000Z,2016-05-10T20:45:00.000Z,"42.79","4",16,0,0
2016-05-11T00:00:00.000Z,2016-05-11T15:45:00.000Z,"42.74","4",16,0,0
2016-05-12T00:00:00.000Z,2016-05-12T06:55:00.000Z,"42.74","4",16,0,0
2016-05-13T00:00:00.000Z,2016-05-13T00:15:00.000Z,"42.88","4",16,0,0
2016-05-14T00:00:00.000Z,2016-05-14T00:15:00.000Z,"42.88","4",16,0,0
2016-05-15T00:00:00.000Z,2016-05-15T19:45:00.000Z,"32.67","4",16,0,0
2016-05-16T00:00:00.000Z,2016-05-16T18:45:00.000Z,"37.73","4",16,0,0
2016-05-17T00:00:00.000Z,2016-05-17T09:15:00.000Z,"32.93","4",16,0,0
2016-05-18T00:00:00.000Z,2016-05-18T05:45:00.000Z,"32.69","4",16,0,0
2016-05-19T00:00:00.000Z,2016-05-19T22:05:00.000Z,"43.48","4",16,0,0
2016-05-20T00:00:00.000Z,2016-05-20T00:15:00.000Z,"43.47","4",16,0,0
2016-05-21T00:00:00.000Z,2016-05-21T00:00:00.000Z,"43.54","4",16,0,0
2016-05-22T00:00:00.000Z,2016-05-22T00:05:00.000Z,"43.67","4",16,0,0
2016-05-23T00:00:00.000Z,2016-05-23T17:55:00.000Z,"43.73","4",16,0,0
2016-05-24T00:00:00.000Z,2016-05-24T02:45:00.000Z,"43.73","4",16,0,0
2016-05-25T00:00:00.000Z,2016-05-25T06:55:00.000Z,"43.58","4",16,0,0
2016-05-26T00:00:00.000Z,2016-05-26T00:05:00.000Z,"43.84","4",16,0,0
2016-05-27T00:00:00.000Z,2016-05-27T21:00:00.000Z,"43.82","4",16,0,0
2016-05-28T00:00:00.000Z,2016-05-28T00:15:00.000Z,"43.82","4",16,0,0
2016-05-29T00:00:00.000Z,2016-05-29T00:00:00.000Z,"43.84","4",16,0,0
2016-05-30T00:00:00.000Z,2016-05-30T00:00:00.000Z,"43.94","4",16,0,0
2016-05-31T00:00:00.000Z,2016-05-31T12:30:00.000Z,"43.73","4",16,0,0
2016-06-01T00:00:00.000Z,2016-06-01T06:25:00.000Z,"43.73","4",16,0,0
2016-06-02T00:00:00.000Z,2016-06-02T09:00:00.000Z,"43.94","4",16,0,0
2016-06-03T00:00:00.000Z,2016-06-03T00:05:00.000Z,"43.95","4",16,0,0
2016-06-04T00:00:00.000Z,2016-06-04T18:45:00.000Z,"43.83","4",16,0,0
2016-06-05T00:00:00.000Z,2016-06-05T14:25:00.000Z,"44.05","4",16,0,0
2016-06-06T00:00:00.000Z,2016-06-06T00:00:00.000Z,"44.05","4",16,0,0
2016-06-07T00:00:00.000Z,2016-06-07T22:30:00.000Z,"44.03","4",16,0,0
2016-06-08T00:00:00.000Z,2016-06-08T17:15:00.000Z,"43.99","4",16,0,0
2016-06-09T00:00:00.000Z,2016-06-09T21:15:00.000Z,"44.00","4",16,0,0
